name,source,gender,wikidata,type
"Aagje Dekenstraat",wikidata,F,Q255601,way
"Anna Maria van Schuurmanstraat",wikidata,F,Q255261,way
"Anna Paulownastraat",wikidata,F,Q160800,way
"Anna Reynvaanstraat",wikidata,F,Q2126624,way
"Anna van Saksenstraat",wikidata,F,Q76488,way
"Anne Frankweg",wikidata,F,Q4583,way
"Annelien Kappeynestraat",wikidata,F,Q2740625,way
"Annie Romeinsingel",wikidata,F,Q1897634,way
"Antoinette Kleynstraat",wikidata,F,Q20017529,way
"Carry van Bruggenweg",wikidata,F,Q447097,way
"Catharina van Renneskade",wikidata,F,Q2155613,way
"Catharine van Tussenbroekpad",wikidata,F,Q2062389,way
"Charley Tooropweg",wikidata,F,Q446922,way
"Christine Baderpad",wikidata,F,Q28064324,way
"Clara Visserplaats",wikidata,F,Q20031866,way
"Clara Wichmannstraat",wikidata,F,Q1095182,way
"Corrie ten Boomstraat",wikidata,F,Q241097,way
"Elisabeth Brugsmastraat",wikidata,F,Q28064386,way
"Elisabeth Koolaartstraat",wikidata,F,Q2177421,way
"Emmy Andriesseplaats",wikidata,F,Q530883,way
"Etta Palmstraat",wikidata,F,Q459515,way
"Etty Hillesumstraat",wikidata,F,Q126400,way
"Gerda Brautigamsingel",wikidata,F,Q2472170,way
"Hannie Schaftstraat",wikidata,F,Q448486,way
"Harriët Freezersingel",wikidata,F,Q2247309,way
"Henriëtte van der Meystraat",wikidata,F,Q1243554,way
"Ina Boudier-Bakkerplein",wikidata,F,Q2167972,way
"Ina Boudier-Bakkerstraat",wikidata,F,Q2167972,way
"Jeltje de Bosch Kemperpad",wikidata,F,Q2934216,way
"Johanna Naberstraat",wikidata,F,Q1696989,way
"Joke Smitstraat",wikidata,F,Q2492882,way
"Katharina Boudewijnskade",wikidata,F,Q3194019,way
"Lau Mazirelstraat",wikidata,F,Q1807722,way
"Liesbeth Ribbiuspad",wikidata,F,Q20859202,way
"Lizzy Ansinghstraat",wikidata,F,Q2565025,way
"Louise Hardenbergsingel",wikidata,F,Q88468272,way
"Louise de Colignystraat",wikidata,F,Q238227,way
"Maartje Offerspad",wikidata,F,Q4822730,way
"Madame Curiestraat",wikidata,F,Q7186,way
"Marga Klompéstraat",wikidata,F,Q276410,way
"Margo Antinkstraat",wikidata,F,Q1927183,way
"Maria Montessoripad",wikidata,F,Q131117,way
"Maria Rutgersweg",wikidata,F,Q2064966,way
"Mary Zeldenrustweg",wikidata,F,Q13817405,way
"Mina Krusemanstraat",wikidata,F,Q2019499,way
"Petronella Moensweg",wikidata,F,Q2142140,way
"Petronella Voûtepad",wikidata,F,Q4984876,way
"Rie Cramerlaan",wikidata,F,Q2151902,way
"Rosa Manusstraat",wikidata,F,Q2139948,way
"Sara Trooststraat",wikidata,F,Q7421795,way
"Sara de Bronovoplein",wikidata,F,Q19587899,way
"Sonia Gaskellstraat",wikidata,F,Q1191898,way
Sophiastraat,wikidata,F,Q168674,way
"Suze Robertsonstraat",wikidata,F,Q6584364,way
"Thérèse Schwartzestraat",wikidata,F,Q457001,way
"Top Naeffstraat",wikidata,F,Q5260550,way
"Trix Terwindtstraat",wikidata,F,Q2489230,way
"Truus Smuldersstraat",wikidata,F,Q57557816,way
"Truus Wijsmullerpad",wikidata,F,Q129771,way
"Truus van Lierpad",wikidata,F,Q2515634,way
"Waldeck Pyrmontstraat",wikidata,F,Q57664,way
"Wilhelmina Bladergroenweg",wikidata,F,Q2864724,way
"Willemijn Posthumuspad",wikidata,F,Q2576811,way
Marnixstraat,wikidata,M,Q701605,way
"Martin Luther Kingpad",wikidata,M,Q8027,way
Zamenhofstraat,wikidata,M,Q11758,way
