name,source,gender,wikidata,type
"Anna Bijnskade",wikidata,,Q18937412,way
Corantijnstraat,wikidata,,Q508582,way
Curaçaostraat,wikidata,,Q25279,way
Kooilaan,wikidata,,Q20675,way
Leuvenstraat,wikidata,,Q118958,way
Lombokstraat,wikidata,,Q7564,way
Marowijnepad,wikidata,,Q1369002,way
Molenstraat,wikidata,,Q38720,way
"Nellie van Kolstraat",wikidata,,Q19353592,way
Nickeriepad,wikidata,,Q182396,way
Paramaribohof,wikidata,,Q3001,way
Paramaribostraat,wikidata,,Q3001,way
Sabastraat,wikidata,,Q25528,way
"Sint Eustatiusstraat",wikidata,,Q26180,way
"Sint Maartenstraat",wikidata,,Q26273,way
Soestdijkkade,wikidata,,Q234048,way
Sumatrastraat,wikidata,,Q3492,way
Surinamestraat,wikidata,,Q19901436,way
Timorstraat,wikidata,,Q83067,way
"'t Joppepad",,,,way
"1e Binnenvestgracht",,,,way
"2e Binnenvestgracht",,,,way
"3e Binnenvestgracht",,,,way
"4e Binnenvestgracht",,,,way
"5e Binnenvestgracht",,,,way
Aalberseplein,,,,way
Aalmarkt,,,,way
Aalscholveroord,,,,way
"Aaltje Noordewierlaan",,,,way
Aardbeipad,,,,way
Aarstraat,,,,way
"Abraham Kuyperplein",,,,way
Abrikozenweg,,,,way
Acaciastraat,,,,way
"Admiraal Banckertweg",,,,way
"Admiraal Banckertweg; Dorus Rijkersweg",,,,way
"Admiraal Helfrichweg",,,,way
Admiraalsweg,,,,way
"Adriaan Pauwstraat",,,,way
"Aerent Bruunstraat",,,,way
Agaatlaan,,,,way
"Agatha van Alkemadestraat",,,,way
Agrippinastraat,,,,way
Aidapad,,,,way
Akeleituin,,,,way
Akenwerf,,,,way
Akkerhof,,,,way
Akkerhoornbloem,,,,way
"Albert Verweijstraat",,,,way
Albinusdreef,,,,way
"Aletta Jacobslaan",,,,way
"Alexander Dubčekplaats",,,,way
Alexanderstraat,,,,way
"Alexandrine Tinneplein",,,,way
Alfastraat,,,,way
"Alida Buitendijkpad",,,,way
Aloëlaan,,,,way
Alpenroos,,,,way
Amalrikplaats,,,,way
Ambonstraat,,,,way
Ambrosiadal,,,,way
Amethistkade,,,,way
Ampèrestraat,,,,way
Amphoraweg,,,,way
